"","reg","deaths","date","year","weekno"
"604","East Midlands",789,2011-03-04,2011,9
"605","West Midlands",957,2011-03-04,2011,9
"606","East",991,2011-03-04,2011,9
"607","London",900,2011-03-04,2011,9
"608","South East",1515,2011-03-04,2011,9
"609","South West",999,2011-03-04,2011,9
"610","Wales",590,2011-03-04,2011,9
"611","North East",526,2011-03-11,2011,10
"612","North West",1295,2011-03-11,2011,10
"613","Yorkshire and The Humber",970,2011-03-11,2011,10
"614","East Midlands",815,2011-03-11,2011,10
"615","West Midlands",964,2011-03-11,2011,10
"616","East",971,2011-03-11,2011,10
"617","London",946,2011-03-11,2011,10
"618","South East",1461,2011-03-11,2011,10
"619","South West",1051,2011-03-11,2011,10
"620","Wales",630,2011-03-11,2011,10
"621","North East",533,2011-03-18,2011,11
"622","North West",1279,2011-03-18,2011,11
"623","Yorkshire and The Humber",969,2011-03-18,2011,11
"624","East Midlands",809,2011-03-18,2011,11
"625","West Midlands",1060,2011-03-18,2011,11
"626","East",1075,2011-03-18,2011,11
"627","London",953,2011-03-18,2011,11
"628","South East",1523,2011-03-18,2011,11
"629","South West",1018,2011-03-18,2011,11
"630","Wales",593,2011-03-18,2011,11
"631","North East",496,2011-03-25,2011,12
"632","North West",1291,2011-03-25,2011,12
"633","Yorkshire and The Humber",1023,2011-03-25,2011,12
"634","East Midlands",790,2011-03-25,2011,12
"635","West Midlands",943,2011-03-25,2011,12
