"","week","deaths","age","year","weekno","reg"
"369",2012-09-21,8838,"Total",2012,38,"England & Wales"
"370",2018-09-21,9305,"Total",2018,38,"England & Wales"
"371",2011-10-21,8624,"Total",2011,42,"England & Wales"
"372",2016-10-21,9768,"Total",2016,43,"England & Wales"
"373",2014-11-21,9454,"Total",2014,47,"England & Wales"
"374",2012-12-21,11451,"Total",2012,51,"England & Wales"
"375",2018-12-21,11116,"Total",2018,51,"England & Wales"
"376",2010-01-22,11759,"Total",2010,4,"England & Wales"
"377",2016-01-22,11470,"Total",2016,4,"England & Wales"
"378",2013-02-22,10844,"Total",2013,8,"England & Wales"
"379",2019-02-22,11295,"Total",2019,8,"England & Wales"
"380",2013-03-22,11072,"Total",2013,12,"England & Wales"
"381",2019-03-22,10402,"Total",2019,12,"England & Wales"
"382",2011-04-22,8332,"Total",2011,16,"England & Wales"
"383",2016-04-22,10925,"Total",2016,17,"England & Wales"
"384",2015-05-22,9996,"Total",2015,21,"England & Wales"
"385",2020-05-22,12288,"Total",2020,21,"England & Wales"
"386",2012-06-22,9054,"Total",2012,25,"England & Wales"
"387",2018-06-22,9256,"Total",2018,25,"England & Wales"
"388",2011-07-22,8500,"Total",2011,29,"England & Wales"
"389",2016-07-22,9344,"Total",2016,30,"England & Wales"
"390",2014-08-22,8769,"Total",2014,34,"England & Wales"
"391",2017-09-22,9534,"Total",2017,38,"England & Wales"
"392",2010-10-22,9285,"Total",2010,43,"England & Wales"
"393",2013-11-22,9587,"Total",2013,47,"England & Wales"
"394",2019-11-22,10882,"Total",2019,47,"England & Wales"
"395",2017-12-22,12514,"Total",2017,51,"England & Wales"
"396",2015-01-23,13934,"Total",2015,4,"England & Wales"
"397",2018-02-23,12142,"Total",2018,8,"England & Wales"
"398",2012-03-23,9862,"Total",2012,12,"England & Wales"
"399",2018-03-23,11913,"Total",2018,12,"England & Wales"
"400",2010-04-23,9448,"Total",2010,17,"England & Wales"
"401",2014-05-23,9311,"Total",2014,21,"England & Wales"
